Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.1,611629239,300,2038764.1,1954594.0,1580788,3379783,316867.3,"void fast_lfs::rasterization::kernels::backward::blend_backward_cu<(DensificationType)2, (bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, const float *, const float *, const float *, const float *, const float *, const float *, const unsigned int *, const float *, float2 *, float *, float *, float3 *, float *, float3 *, float *, const float *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
27.9,397019018,300,1323396.7,1294311.0,1040345,1453621,66722.6,"lfs::training::mrnf_strategy::mrnf_noise_injection_kernel(float *, const float *, const float *, const bool *, unsigned long, float, float, float, unsigned long, unsigned long)"
9.5,134993202,300,449977.3,447309.0,419421,521021,21092.5,"void fast_lfs::rasterization::kernels::backward::preprocess_backward_cu<(bool)0, (int)4>(const float3 *, const float3 *, const float4 *, const float4 *, const float4 *, const float3 *, const float *, const unsigned long *, const float2 *, const float *, const float *, const float3 *, float *, float3 *, float4 *, float *, unsigned int, float, float, float, float, float, float, unsigned int, fast_lfs::rasterization::FusedAdamSettings)"
8.6,122874129,300,409580.4,398957.0,325598,619868,53584.8,"void fast_lfs::rasterization::kernels::forward::blend_cu<(bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, float *, float *, float *, float *, unsigned int *, float *, const float *, const float *, unsigned int, unsigned int, unsigned int)"
2.5,34982304,38,920586.9,884745.5,631324,1227255,178116.1,"edge_compute::rasterization::kernels::forward::edge_blend_cu(const uint2 *, const unsigned int *, const float2 *, const float4 *, unsigned int, unsigned int, unsigned int, const float *, float *)"
1.3,18845057,300,62816.9,63040.0,50912,80095,4385.1,"fast_lfs::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float3 *, const float4 *, const float4 *, const float3 *, unsigned int *, float *, unsigned long *, ushort4 *, float2 *, float4 *, float3 *, float3 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
1.1,15872087,300,52907.0,52895.5,52479,54816,252.6,"void <unnamed>::fusedL1SSIMBackwardCUDA<unsigned char, __half>(float, int, int, int, float, float, float, bool, const float *, const T1 *, float *, const T2 *, const T2 *, const T2 *)"
1.0,14627509,1352,10819.2,10624.0,9792,15648,639.5,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.9,12228174,300,40760.6,40736.0,40448,42943,179.4,"void <unnamed>::fusedL1SSIMForwardCUDA<unsigned char>(int, int, int, float, float, const float *, const T1 *, __half *, __half *, __half *, float *)"
0.7,9436773,300,31455.9,31376.0,20640,48000,5183.1,"fast_lfs::rasterization::kernels::forward::create_instances_cu(const unsigned long *, const unsigned long *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,5938773,4,1484693.3,1482453.0,1428150,1545717,60799.7,"lfs::training::mrnf_strategy::gumbel_key_for_indices_kernel(const float *, const long *, float *, unsigned long, unsigned long)"
0.4,5404895,300,18016.3,14208.0,4640,131679,17531.7,"void nvjpeg::dctQuantInvJpegKernelMultiChannel<ushort2, (int)1, (int)32, (int)8>(nvjpeg::InvDctParamsMultiChannel)"
0.3,4389510,300,14631.7,14351.5,11904,18207,887.7,"lfs::training::mrnf_strategy::fold_densification_and_zero_kernel(float *, float *, float *, unsigned long)"
0.2,3436776,300,11455.9,5984.0,5760,276478,30529.1,"lfs::io::cuda::uint8_hwc_to_uint8_chw_kernel(const unsigned char *, unsigned char *, unsigned long, unsigned long, unsigned long)"
0.2,3311594,300,11038.6,4288.0,2912,264222,36612.6,"void nvjpeg::ycbcr_to_format_kernel_roi<(nvjpegChromaSubsampling_t)0, (bool)0, (nvjpegOutputFormat_t)5, nvjpeg::ConvertToFormatDispatchROI::LaunchParams<(int)32, (int)8>>(nvjpegImage_t, NppiSize, nvjpegImage_t, NppiSize, NppiSize)"
0.2,2951813,300,9839.4,9856.0,9568,10368,84.5,"void lfs::training::kernels::<unnamed>::fused_l1_ssim_sum_kernel<unsigned char>(const float *, const T1 *, const float *, float *, float, int, int, int, int, bool)"
0.2,2158125,432,4995.7,4831.0,4544,7552,420.3,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortMergeKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::_V_300304_SM_890::detail::vsmem_t)"
0.1,1988880,78,25498.5,28032.0,21920,35519,3290.9,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::_V_300304_SM_890::detail::vsmem_t)"
0.1,1564150,338,4627.7,4608.0,4128,6496,148.1,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.1,1448084,300,4826.9,4672.0,4416,7264,356.6,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned long, unsigned long, unsigned long, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned long *, unsigned long *, cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned long, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.1,1228532,432,2843.8,2848.0,2432,3456,216.5,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300304_SM_890::device_ptr<float>, unsigned int, lfs::core::ops::sort_less_op, float>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.1,1118808,2,559404.0,559404.0,539932,578876,27537.6,"lfs::core::tensor_ops::<unnamed>::fused_segmented_transform_reduce_kernel(const float *, float *, unsigned long, unsigned long, lfs::core::tensor_ops::FusedPointwiseOpChain, int)"
0.1,1082521,38,28487.4,27647.5,21152,37248,4415.8,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
0.1,1065659,300,3552.2,3552.0,3200,4416,134.2,"fast_lfs::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, const unsigned long *)"
0.1,1040347,300,3467.8,3456.0,3360,3584,43.2,"lfs::core::tensor_ops::clamp_kernel_vectorized(float *, float, float, unsigned long)"
0.1,950453,38,25011.9,24880.0,22816,28128,1473.9,"edge_compute::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float4 *, unsigned int *, unsigned int *, ushort4 *, float2 *, float4 *, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
