Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
42.1,237340589,300,791135.3,796156.0,498206,1038651,85770.1,"void fast_lfs::rasterization::kernels::backward::blend_backward_cu<(DensificationType)2, (bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, const float *, const float *, const float *, const float *, const float *, const float *, const unsigned int *, const float *, float2 *, float *, float *, float3 *, float *, float3 *, float *, const float *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
11.7,65809786,25,2632391.4,2323444.0,1346905,5015815,1065793.9,"edge_compute::rasterization::kernels::forward::edge_blend_cu(const uint2 *, const unsigned int *, const float2 *, const float4 *, unsigned int, unsigned int, unsigned int, const float *, float *)"
7.4,41881230,300,139604.1,139583.0,139167,141375,207.0,"void <unnamed>::fusedL1SSIMBackwardCUDA<unsigned char, __half>(float, int, int, int, float, float, float, bool, const float *, const T1 *, float *, const T2 *, const T2 *, const T2 *)"
7.3,41125212,300,137084.0,107664.0,1536,215263,48216.8,"lfs::training::mrnf_strategy::mrnf_noise_injection_kernel(float *, const float *, const float *, const bool *, unsigned long, float, float, float, unsigned long, unsigned long)"
6.9,38741418,300,129138.1,129839.5,54912,182175,20952.4,"void fast_lfs::rasterization::kernels::forward::blend_cu<(bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, float *, float *, float *, float *, unsigned int *, float *, const float *, const float *, unsigned int, unsigned int, unsigned int)"
5.5,31260550,300,104201.8,104095.0,103807,107007,345.5,"void <unnamed>::fusedL1SSIMForwardCUDA<unsigned char>(int, int, int, float, float, const float *, const T1 *, __half *, __half *, __half *, float *)"
3.0,17179877,300,57266.3,58576.0,25728,87040,13509.2,"fast_lfs::rasterization::kernels::forward::create_instances_cu(const unsigned long *, const unsigned long *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int)"
2.9,16238385,300,54127.9,53471.5,50624,62751,1974.3,"void fast_lfs::rasterization::kernels::backward::preprocess_backward_cu<(bool)0, (int)1>(const float3 *, const float3 *, const float4 *, const float4 *, const float4 *, const float3 *, const float *, const unsigned long *, const float2 *, const float *, const float *, const float3 *, float *, float3 *, float4 *, float *, unsigned int, float, float, float, float, float, float, unsigned int, fast_lfs::rasterization::FusedAdamSettings)"
2.2,12204058,1300,9387.7,9408.0,7968,10560,366.7,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
1.5,8413551,900,9348.4,4960.0,4096,60192,6758.6,"void nvjpeg::DecodeSingleGPU::dcAcDecodeKernel<nvjpeg::DecodeSingleGPU::DcAcDecodeAdditionalArgs>(int, NppiSize, unsigned long, int, T1, short *, NppiSize, int, unsigned char, unsigned char)"
1.2,6890624,300,22968.7,22943.0,22752,27039,278.9,"void lfs::training::kernels::<unnamed>::fused_l1_ssim_sum_kernel<unsigned char>(const float *, const T1 *, const float *, float *, float, int, int, int, int, bool)"
0.8,4344834,900,4827.6,4736.0,4672,22624,793.5,nvjpeg::DecodeSingleGPU::transposeKernel(short *)
0.7,4186385,300,13954.6,13920.0,13664,16032,165.6,"lfs::io::cuda::uint8_hwc_to_uint8_chw_kernel(const unsigned char *, unsigned char *, unsigned long, unsigned long, unsigned long)"
0.6,3619600,300,12065.3,12032.0,9696,14656,1000.1,"fast_lfs::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float3 *, const float4 *, const float4 *, const float3 *, unsigned int *, float *, unsigned long *, ushort4 *, float2 *, float4 *, float3 *, float3 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
0.5,2656530,300,8855.1,8672.0,8352,28192,1808.5,"void nvjpeg::dctQuantInvJpegKernelMultiChannel<ushort2, (int)1, (int)32, (int)8>(nvjpeg::InvDctParamsMultiChannel)"
0.4,2469563,300,8231.9,7936.0,6400,49855,3000.5,"nvjpeg::DecodeSingleGPU::destuffKernel(unsigned char *, int, unsigned long long *)"
0.4,2406892,300,8023.0,8032.0,7808,8352,82.0,"lfs::core::tensor_ops::clamp_kernel_vectorized(float *, float, float, unsigned long)"
0.4,2072408,300,6908.0,6944.0,6016,7776,211.3,"void nvjpeg::ycbcr_to_format_kernel_roi<(nvjpegChromaSubsampling_t)0, (bool)0, (nvjpegOutputFormat_t)5, nvjpeg::ConvertToFormatDispatchROI::LaunchParams<(int)32, (int)8>>(nvjpegImage_t, NppiSize, nvjpegImage_t, NppiSize, NppiSize)"
0.3,1785783,900,1984.2,1984.0,1920,3840,102.4,"void nvjpeg::DecodeSingleGPU::dcPrefixSumUpUpDownDownKernel<short>(T1 *, T1 *, T1 *, unsigned long, unsigned int)"
0.3,1774393,300,5914.6,5920.0,5440,6303,75.7,"lfs::training::kernels::fused_grad_alpha_chw_kernel(const float *, const float *, float *, int, int)"
0.3,1578616,352,4484.7,4736.0,1184,5376,943.0,"lfs::training::kernels::normalize_by_device_scalar_kernel(float *, unsigned long, const float *, float)"
0.3,1572153,900,1746.8,1728.0,1695,9439,279.0,"nvjpeg::DecodeSingleGPU::dcPrefixSumDownWriteKernel(NppiSize, unsigned long, NppiSize, short *, short *, const short *, unsigned int)"
0.3,1533717,300,5112.4,5088.0,4896,6528,106.1,"lfs::training::kernels::<unnamed>::ssim_to_error_map_kernel(const float *, float *, int, int, int)"
0.3,1453243,52,27947.0,24160.0,23776,37312,4374.5,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::_V_300304_SM_890::detail::vsmem_t)"
0.3,1412792,900,1569.8,1568.0,1535,3296,93.3,"nvjpeg::DecodeSingleGPU::dcPrefixSumReadUpKernel(NppiSize, unsigned long, NppiSize, const short *, short *, short *, unsigned int)"
0.2,1398840,239,5852.9,5856.0,4896,8415,607.3,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortMergeKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::_V_300304_SM_890::detail::vsmem_t)"
0.2,1333307,25,53332.3,55424.0,26624,77920,13489.0,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
