Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.5,487793281,300,1625977.6,1529512.5,1117915,2633906,329520.6,"void fast_lfs::rasterization::kernels::backward::blend_backward_cu<(DensificationType)2, (bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, const float *, const float *, const float *, const float *, const float *, const float *, const unsigned int *, const float *, float2 *, float *, float *, float3 *, float *, float3 *, float *, const float *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
15.0,131525433,300,438418.1,455549.5,127647,638333,104889.1,"lfs::training::mrnf_strategy::mrnf_noise_injection_kernel(float *, const float *, const float *, const bool *, unsigned long, float, float, float, unsigned long, unsigned long)"
10.3,90244507,300,300815.0,288943.0,194687,484702,59722.8,"void fast_lfs::rasterization::kernels::forward::blend_cu<(bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, float *, float *, float *, float *, unsigned int *, float *, const float *, const float *, unsigned int, unsigned int, unsigned int)"
4.7,41710346,300,139034.5,134704.0,130976,152959,7792.8,"void fast_lfs::rasterization::kernels::backward::preprocess_backward_cu<(bool)0, (int)1>(const float3 *, const float3 *, const float4 *, const float4 *, const float4 *, const float3 *, const float *, const unsigned long *, const float2 *, const float *, const float *, const float3 *, float *, float3 *, float4 *, float *, unsigned int, float, float, float, float, float, float, unsigned int, fast_lfs::rasterization::FusedAdamSettings)"
4.5,39507669,38,1039675.5,1053338.5,587709,1588728,223961.2,"edge_compute::rasterization::kernels::forward::edge_blend_cu(const uint2 *, const unsigned int *, const float2 *, const float4 *, unsigned int, unsigned int, unsigned int, const float *, float *)"
1.8,15800157,300,52667.2,52640.0,52287,54528,217.0,"void <unnamed>::fusedL1SSIMBackwardCUDA<unsigned char, __half>(float, int, int, int, float, float, float, bool, const float *, const T1 *, float *, const T2 *, const T2 *, const T2 *)"
1.4,12713342,1352,9403.4,9376.0,8544,11008,417.4,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
1.4,12151101,300,40503.7,40543.0,39903,41984,229.3,"void <unnamed>::fusedL1SSIMForwardCUDA<unsigned char>(int, int, int, float, float, const float *, const T1 *, __half *, __half *, __half *, float *)"
1.0,8366545,300,27888.5,27151.5,16608,45919,6117.0,"fast_lfs::rasterization::kernels::forward::create_instances_cu(const unsigned long *, const unsigned long *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,5703367,300,19011.2,18944.0,17472,25535,742.8,"fast_lfs::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float3 *, const float4 *, const float4 *, const float3 *, unsigned int *, float *, unsigned long *, ushort4 *, float2 *, float4 *, float3 *, float3 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
